,0,1,2
415,57043805,43780134,59169766
426,40223247,40783790,50178475
429,35500143,35134661,35191984
433,57062760,51933266,45060713
437,40803833,52134169,57314857
442,49749419,54378576,37252468
448,40365500,45090911,42079419
451,40786377,35884922,44628446
455,51009216,37782008,40666118
457,56443599,48730367,48537681
475,50875229,43062382,40996344
476,56771019,40720878,37332190
486,34562730,41822826,48544786
489,41430070,50393649,39148080
492,46016139,40572436,51146465
498,45324711,39795455,45380712
502,44978196,49470486,49457164
504,57406157,38654438,45276840
506,45795625,60333482,44560980
510,50268409,36497520,49485375
512,46348657,57421889,40544056
517,37894448,38073328,54734659
519,59317913,45150265,48106520
521,45917446,46360278,58356018
522,50038590,52414363,39935616
523,41288964,52806627,50123621
524,52277020,45116215,42520273
537,42765539,44367859,52084504
538,35046608,36718186,59548189
545,43852717,48149273,50240029
546,34832405,55577710,49388728
549,34791076,39890885,51571347
555,47692494,46549516,35366477
560,48430726,36186324,38510462
561,43157529,40727777,42609436
566,52287942,52052362,52067767
567,48320659,42158694,41535380
570,56898994,35004385,42711175
573,35457980,36572009,42440061
574,49173085,58018659,44086572
579,41662894,37343003,60384689
580,45980548,48822685,37534266
586,37623415,34810451,46368986
587,36572031,47126130,45114414
592,34798936,40720878,45628895
596,43271990,38253385,51061603
604,50866472,48572648,54266094
608,53521834,47886347,46116362
614,52832947,48244985,38665907
617,39375290,53483315,42670027
624,39320990,42101476,35312274
631,40506183,48378712,46449234
632,53135275,45558223,41734522
638,41732254,42355283,35883926
645,45582653,53951688,37082409
654,60245493,47876473,38771403
657,36848752,43726820,50972863
662,59347522,46109465,56090633
667,35160256,45021644,48958442
670,49177260,53873270,40277991
673,56199022,39735289,40224457
675,52022331,48182815,58301481
676,45374368,37372448,44434826
678,50685514,43481490,51737996
680,37987655,37117933,49696624
686,57648841,53873153,56200419
688,41759253,56561064,35706274
690,37106268,59317463,57158834
692,57306611,42172461,50789854
695,49979069,50982052,55372837
696,42443615,54908671,53670234
699,55673868,34904499,47463609
718,51001899,41410359,49917337
719,53546811,45755567,48767677
720,43206457,38301599,47887224
721,46947623,39708213,51804810
723,42765980,36660024,41302974
725,40286152,44906161,54378915
731,42645297,43555127,39859787
732,37505148,42627103,42507411
734,50779597,35073650,58303132
739,48458418,57388976,39523150
743,49264502,59269400,51712064
747,38816955,39954099,49842027
763,46764793,55331559,54322153
772,39907142,36511011,48857982
774,56213019,42785634,45223198
776,51035368,36170049,39819742
778,42255458,55883984,59885714
782,44262638,42682855,35386491
785,39763343,59120071,36222805
788,50789578,47773541,35957577
789,48807173,44039420,41980240
792,56065463,56664037,40608890
805,37002233,49224826,53310145
806,45946957,56834679,38755214
819,39888780,48155294,57510604
820,43569648,44822008,46131196
826,49366134,46070136,35357257
833,48787672,34583224,60458575
835,37822607,38836674,51914994
837,39343031,50355124,36747956
839,39295200,44690174,42473457
840,40574001,48263317,43902765
846,55814635,40611071,42764028
849,49858829,38069068,41330800
852,38277165,39501873,40028715
854,35411466,36465224,50924562
862,40000864,59484828,48394154
870,44040866,39577036,34957345
877,41566175,34831328,55437006
878,45096513,51357333,37954022
880,55199999,46748277,36717455
888,35203965,49619404,44245054
901,57591431,59469515,57298133
905,42670413,37556516,50198706
906,46783809,48299466,41950926
917,41620937,60327101,42996709
920,59972432,35982610,40043128
928,47166000,45516848,58591352
931,39323549,54378576,42186164
934,35106118,40256575,35954725
943,35140358,52863873,56341103
944,55917975,42296963,44534405
956,54802330,42434905,52205705
959,43471160,34851713,35321334
966,52506450,54706594,57314857
975,42973440,54096516,41106546
980,51026068,54454173,45517515
986,40199583,51123167,35432842
997,36819395,58226605,38291755
1006,38884482,56455303,51379850
1007,44593024,44224863,53888323
1012,58226605,51182052,54357381
1018,40307872,53877830,48746647
1027,36239997,51740815,56483118
1028,56666960,37100053,55265575
1047,41393427,38658588,38686732
1050,34554206,39737159,39675592
1062,39138019,51120439,38484769
1069,42181239,47772414,37793118
1074,58022403,41366999,46778141
1076,50029315,51212212,58287149
1077,41761732,57910231,51999383
1078,43665090,54783375,60033216
1084,47418002,44023993,41324882
1098,40209739,44576989,34945562
1101,44784343,54266094,37895944
1102,38918588,45347920,39441484
1121,36157887,49880276,40882040
1156,50950092,38183708,49444209
1161,44250502,57089401,40953193
1178,40856932,42722433,56327404
1181,47306072,41001562,36490867
1193,41260952,45294557,55670711
1201,41808011,57228361,39481549
1220,59607005,40860943,48298135
1222,53399447,47758690,53778640
1226,34631806,43069503,37495039
1228,45916980,40780586,40545995
1240,39759071,42244791,57913764
1244,38639769,51492729,51047676
1251,41209393,39135470,51511547
1252,48530322,51102205,46177406
1256,39851050,40974965,51499402
1261,54456382,55320826,36502080
1262,52696225,34707859,45013306
1264,52162892,49036486,55933354
1272,43169218,46554771,52967102
1275,40240291,40746963,42614347
1277,39959417,50622947,49756393
1285,56479824,54149554,45133098
1289,51698499,57970255,40363916
1304,50289895,44150397,36969446
1305,58398916,57548384,50666901
1308,59767181,59916267,47855696
1309,40151107,34573779,39269855
1310,43745168,40480601,46021362
1313,40238258,44078205,54806748
1317,37907568,54791520,34901556
1324,39174461,49980992,48688996
1325,36872789,44843449,41195234
1326,40106284,49209216,43412684
1327,53418655,46779929,34976140
1328,42941708,48324415,45848760
1343,45401453,37053320,43435442
1352,48617877,45347920,48035939
1359,41104035,42824032,53484612
1362,51847689,45806210,43541080
1370,50331764,47647875,51173191
1375,48268507,38235613,48986641
1397,44797007,50355971,53900396
1398,48363477,47937440,42072538
1402,42659272,36584142,42146423
1412,42247230,45882990,46428633
1420,55742305,48873748,58889877
1432,45981888,49243606,51081754
1442,57945813,38821132,52624283
1469,39591277,41357201,55293155
1472,37857695,49868974,42120826
1475,43998410,43130349,44250502
1476,38822937,50611509,42206403
1479,42907419,52826962,52801323
1484,42562736,41673463,39173650
1485,39181600,54274473,53560235
1493,54057527,35120401,35145702
1494,49152660,40968297,51266635
1495,46712389,48979294,36686547
1496,42327282,39195414,35952035
1507,39321625,45959270,57674804
1515,34614818,59301971,42405219
1516,40805663,50295726,38340782
1525,48996063,45428473,46086808
1528,50895304,53081226,48444765
1535,42286808,48708361,44797158
1559,56679169,37089343,52452596
1569,39439061,44364871,36949723
1578,50576521,34695130,43176560
1582,59501312,34785653,39724072
1589,34811971,57982176,36814550
1605,59488961,50257505,45943429
1606,36310073,43095151,49908462
1608,43038294,50739275,60405035
1618,36527656,48737637,56062757
1625,38763521,35963070,53900008
1628,49201936,42404563,53379741
1631,37796563,60127901,40593875
1635,47217888,43861957,41990295
1638,48175909,36691707,46477802
1639,45852382,50869220,53626196
1642,34918057,52652998,45975635
1646,60140123,40933243,48038473
1647,46203982,56353575,39765663
1659,38190707,35609728,55958659
1663,44265547,48857330,41140255
1667,47125638,59948685,46221057
1669,42951581,42455063,53808918
1670,54524044,49839617,58035840
1687,54346536,46764793,38721401
1698,44551467,58457140,38456751
1703,37840671,40102538,55283042
1714,45152191,41232236,54006300
1718,49772588,54337172,36538070
1719,44998790,52714709,42025173
1720,59659786,50154438,57502867
1723,44832572,55545425,40673185
1724,56509778,42622107,36741334
1727,57746556,56468475,48576359
1731,54001547,43383835,41146871
1737,50504180,42798745,48964757
1738,41117962,43443963,39052410
1755,42443468,47133843,45973976
1765,35514397,40610944,41113693
1770,38959134,51817841,50703194
1779,37686360,55756658,38735102
1785,57113287,49405616,48076780
1795,44078205,37280285,42090624
1796,48682468,49917675,40164660
1801,50367538,56738109,54897227
1803,38641145,56552850,48731502
1804,51006741,40815238,39305150
1815,52254881,35921180,57430071
1821,40211017,41141924,45556269
1825,43777986,34661027,53988641
1837,38719568,42114252,35498457
1839,37787545,34918115,40818016
1843,44839306,37808643,41317799
1846,45508728,37208587,38014900
1850,35122773,34574785,40581241
1851,44721327,46298482,46722183
1863,52626104,49225150,48838104
1875,46639154,40229182,52862219
1877,49678582,37280082,52832947
1891,48491694,42081343,39681906
1893,57916951,38528355,43793019
1897,37155247,49966960,46459283
1898,40220981,50091110,42739256
1903,55232819,57585980,48923151
1911,40903599,46161390,48838104
1921,43074758,48940995,59733136
1927,36117204,39066729,54817345
1928,38287374,56087500,43469549
1945,45424968,36154963,46552785
1950,40604760,38866714,44329396
1957,43137658,47667776,48458589
1958,39758094,36001602,59926495
1969,42121768,39299094,40809287
1989,48759538,53293772,45363771
1992,46397707,35289314,53943940
1993,35099130,45748762,59631672
1994,48038149,47951466,37830839
1995,37737798,50704279,37076477
1998,46303420,36889988,50184972
2000,35365769,59213848,44023993
2002,44473999,41953427,55241169
2005,39256341,48321329,54898732
2013,35569846,52448201,50408763
2021,37866468,39270123,47805676
2029,54796398,39468022,49496423
2030,43167591,50440844,46084293
2037,43817060,38054190,42314029
2039,48908237,50657927,39807666
2041,45528969,49816476,46772685
2043,34575561,51956695,35862360
2059,45839216,45334905,58974054
2060,41617870,49277328,35515254
2064,39549646,48247600,49864859
2066,48343974,52240296,58050723
2070,41106417,48458343,44604791
2080,35772562,36032965,43668153
2081,46115503,43971609,55484800
2082,42206737,37637841,40840685
2091,38274493,48309707,38702720
2092,42099375,54162007,59557427
2095,51819372,48748301,60391134
2111,38917751,57831499,38356014
2116,51114679,57147194,40977625
2127,56797814,39264364,45871855
2131,55091248,44719953,48501624
2142,41603111,48340989,38231271
2145,50621651,46769746,51774742
2147,52451682,45411118,48900606
2154,39932176,44069367,57117121
2155,45158882,45847550,40598428
2159,40504281,50410248,40149420
2160,37935548,41402577,56437636
2164,41425434,42666767,49501614
2170,52050537,39768919,36928486
2172,48655324,53012567,40439165
2175,34996873,40600278,48313385
2189,43288386,41462729,54316898
2190,37865610,46041148,39541861
2191,35911200,46362965,55558984
2192,39441129,56309573,60316913
2193,60228096,43745099,35122773
2199,50567155,50830287,50190543
2203,37963381,47623996,59697822
2204,35646049,53118317,38015607
2220,40054549,43133402,35999988
2225,51009376,37263702,47409232
2229,41258593,46428633,56990621
2232,48562383,39020702,52649548
2263,45619649,47389499,40493691
2269,36058621,51324971,59469348
2273,47865436,39968977,45029716
2276,40378205,36353298,48714603
2281,58524480,53075893,37253606
2283,49150492,55971821,53023403
2287,49356623,42757186,59310243
2288,56709470,39451358,40720313
2289,42033960,52336711,38184734
2318,58589488,50789500,40712483
2319,47866478,50085258,43359938
2320,42103144,46516375,37966745
2322,39313136,40513241,56673004
2323,34601582,48840904,40852836
2330,37020418,39923833,42605727
2331,55212416,47126130,41085338
2334,50130685,53937077,44692388
2340,45175470,49636352,39286487
2353,44233046,45741190,59838457
2359,46354973,51098738,54074490
2361,34761305,56512506,34916703
2371,56154266,49262398,35809545
2374,55741103,58431264,42771344
2381,56449124,51890201,44334067
2384,37013151,41747594,57712711
2390,48645949,36151973,44407570
2391,51892343,41883258,35729197
2410,55413215,45943868,35027970
2416,49917583,46185469,51781957
2417,36396429,43817060,57995001
2418,48106520,48986732,44291631
2421,51128480,43965257,47906654
2430,35293379,60409936,51694251
2447,41390603,52084504,42934843
2449,59950954,46187525,46000565
2469,54787867,43031653,36143838
2475,41848193,52230375,46143529
2490,45063918,35453653,52191294
2500,59950988,39020702,59163854
2503,56639812,39941329,42103144
2506,42880628,54054687,56200878
2516,51352081,50400740,57285225
2518,35380091,56565076,42158316
2521,42021493,54961679,56693116
2522,51402409,49282471,52652149
2526,41948329,55598152,52905115
2531,37505186,45018873,53732220
2535,52579875,58041006,48719963
2550,39952356,35252162,42376972
2554,35734941,45661649,37385648
2567,41829146,37124196,34912156
2578,40211892,55889445,34958319
2580,50825741,35052709,44103953
2598,51638973,48960845,44280736
2605,35314138,47988844,40564692
2613,41310525,46682012,51754734
2614,58994555,44328530,48579028
2617,34833120,42566673,58310830
2621,36820057,56335388,52921792
2625,35315735,35027970,35453174
2637,42669773,58046130,40878923
2641,54448697,39645410,47931913
2642,46115901,36060010,37193670
2646,45554779,53118960,49610644
2649,49711576,53551719,44205687
2650,57564679,35715256,57866665
2651,34584576,46378996,37212649
2653,56073135,41667297,43465078
2654,49264645,38051230,34576659
2658,35555322,53919973,41990303
2660,40143528,42886024,53238679
2678,46049761,46309621,55022486
2690,48823517,47235002,39331125
2705,57759082,58471195,38633082
2708,35972859,34614551,48704043
2710,48934734,38783459,42403755
2721,42440391,46335789,43454514
2723,41622677,38857439,35740773
2732,49437812,46054418,58248239
2744,42405219,49462563,42269177
2750,58332525,40693309,34570992
2759,60406947,51801648,35006867
2762,47928334,54849318,55148648
2771,34562708,35686363,53980031
2778,45978597,36738839,41734522
2779,60096055,49554728,56818409
2784,51901002,43882348,37599548
2792,54213349,40569708,34776282
2794,35263770,44708242,57680276
2803,54074708,44762794,48029371
2806,36189393,35755191,44689770
2811,36877844,47480158,37730527
2818,41427573,38980241,36300804
2821,41124047,43832925,48491698
2826,46393370,41921137,47862257
2827,36659694,52563340,37999657
2842,49643536,45554474,41087728
2850,42277061,46134240,46539294
2854,44260217,50149882,57195361
2856,48070617,48240840,44025755
2861,48337195,40809810,54043737
2862,48382537,59999021,43122113
2875,59769269,37588751,54378576
2877,51112599,39850819,39839584
2882,40427673,41917942,39749469
2885,39620905,57948597,34771191
2886,49387559,49740632,39944975
2887,35826286,45749992,56147289
2888,37240287,36779990,44607946
2889,54509095,53212902,37933930
2890,45066070,35357461,36511530
2893,36154854,48248405,44607725
2896,37339002,54907893,45832401
2897,39613923,57950920,40047679
2898,38104284,42100216,51141764
2906,48177080,38211089,41708063
2907,53817697,50494605,37730527
2914,53582471,41410359,45401109
2919,40884335,42039678,47597226
2926,38308998,44095275,46265336
2931,39660074,36813503,50706120
2941,40977875,48145432,59504082
2954,48362586,36132032,57480588
2969,51851420,44723755,48091849
2973,35326076,48476373,39783797
2975,50864772,39205610,43189364
2983,50984346,57597318,43308528
3002,57464154,50761188,51767997
3004,44469849,36560458,42340831
3015,39606744,34579213,46708469
3016,57495819,43308528,42163049
3017,42920596,36030132,35152605
3020,37792189,45384170,46154987
3023,34925464,38417551,39529967
3030,40374125,35119032,39359455
3034,35758671,47374715,42169004
3035,54916343,39752216,48798426
3039,41566024,48623142,56483118
3046,46726739,51828017,53781528
3049,45324318,36269488,48103401
3053,50062209,55568655,49962578
3055,35852377,55951014,53175130
3071,44930782,37007939,46197541
3078,39464567,52639001,58594981
3081,58391379,46027329,50964910
3087,50852087,35243432,36149036
3088,35086038,44101458,45448672
3109,45476643,41368685,47709387
3111,41310525,39877608,52842478
3112,49061774,43670556,40256587
3115,44052093,51007483,43943474
3118,54518784,56065830,54812369
3120,57902889,41005307,51567419
3123,42075858,45484128,45748762
3124,45499374,49223809,59294143
3127,41773162,41733523,51499298
3131,48242726,54633690,60391134
3132,37362244,46380722,47509895
3136,41803012,58470035,35853483
3140,39266016,39944124,51877449
3150,50706731,46381242,53135275
3153,50889207,53045411,58657676
3154,41163705,40921215,51370463
3155,57775063,53258432,49187077
3156,40532328,39013320,53434467
3163,41797439,47118114,35310604
3166,45021884,40276157,37740793
3172,43304791,51174009,39516876
3174,40416072,54587455,49174395
3182,39621297,46543657,41166123
3190,40307893,48981501,37223695
3203,57595852,42595112,48511782
3204,48378712,38533386,41599247
3209,47429842,35837796,55978926
3212,58310038,46345759,57053880
3213,55075341,50488300,39288595
3216,49532850,44947583,40125329
3217,38330176,52944747,38348222
3218,35003332,45802745,43351849
3234,34791578,55957572,39545382
3240,44367859,43752641,45735390
3242,46526180,38211411,41140960
3244,51960129,45784673,37856781
3276,42083611,37009498,54364181
3280,45290003,39533532,37772373
3282,53632542,46358391,35728117
3288,34646833,37992225,44663208
3289,37988629,40960747,51096258
3295,39022779,40094898,52033242
3302,39087259,36396514,44979911
3303,41276480,41820953,35469814
3304,43318070,35745067,42785311
3311,45640349,39854929,35248546
3321,46134891,37224170,48092348
3324,58053949,46581248,38217825
3326,34590038,37237336,44527643
3328,48495338,35839247,40600278
3332,59051360,39533291,49292855
3333,36891079,37442566,37253326
3336,37786540,42141689,43852717
3339,51456516,41716083,44612599
3340,37796139,37375927,35312274
3348,37378704,48614773,53593082
3355,53848068,40900674,40938411
3357,50565677,58195560,36684966
3362,34619305,38772442,51253904
3364,44173355,56128114,43811771
3374,50107679,52049684,55879550
3387,39679564,40258657,53609120
3388,39257740,51148996,56664799
3389,54551834,51730611,48917591
3392,34877177,35226144,42035408
3403,49278063,55326676,42973502
3405,54793402,58101799,45290694
3419,45129663,39809594,47750519
3430,50427712,57847664,44658700
3449,35594376,40428763,42667520
3459,35440449,47489180,38238144
3462,43758017,49015044,54209254
3463,53477460,41171636,40493425
3465,51988135,36558729,48731340
3473,48543948,51572257,50545984
3474,42874908,35934753,40656848
3477,50619713,49724232,42677497
3478,40805663,46754478,35136307
3488,40658881,37820998,36057649
3494,35673316,47849219,58578570
3496,35581050,34579052,37909102
3498,60313479,47768874,40537782
3511,41143606,39460503,51826084
3512,51124878,36536507,57167461
3515,44471356,42480245,38106076
3520,52802048,40731863,34712056
3521,55238029,38284518,37475993
3534,39439115,59735021,41884169
3542,45180537,47625072,48448230
3547,34956711,60424777,39040929
3556,34943550,59178329,41067790
3558,34905540,41260952,40993795
3566,54161415,46727465,48915773
3570,53332557,34578677,41840270
3571,39500265,42910637,37211313
3582,43166180,59228006,41590361
3584,48967495,56487489,56213019
3589,34779436,51065989,39758094
3590,57797729,51241686,45927740
3593,38193878,54764979,46975269
3600,46552087,37464872,34775308
3601,41383621,47770356,51490835
3602,46268211,46011940,38913892
3607,48361537,56108110,47883075
3608,52793483,35228279,50777319
3609,38702720,40805639,45286696
3610,59181332,56693666,46626594
3614,51820921,48783547,56418270
3627,38974229,44265650,53353887
3634,58194697,53413285,57956609
3636,45363167,40792221,39176121
3644,50165785,34957345,35361136
3647,35811774,57698167,41840270
3652,49462158,42668595,48570842
3661,50718590,40149420,40681039
3672,38070336,36259019,35169608
3673,35855781,39839051,36487621
3675,41613445,59439096,52311396
3676,51109440,42533379,34758552
3677,49436349,41803012,46539294
3678,57888063,55525773,50844121
3679,43590104,48259891,49273247
3681,37630172,45952635,45251880
3684,58250106,36328845,45056466
3685,54312213,53498716,39863538
3686,45764069,48078636,46131657
3690,55023656,57593070,54952112
3692,36568178,42833126,41590051
3693,34718369,39807629,40424548
3702,36017017,49971821,56925321
3707,46480012,39735147,46112809
3711,44832683,34708381,37220962
3716,56897326,42551495,41132069
3717,55022486,39835549,43415730
3721,43634201,39603318,36778692
3723,43701748,44474726,41516985
3747,34839399,56525338,43880619
3751,50005989,51801940,48240840
3754,53123894,47938368,46283859
3756,57438645,36143840,45461560
3762,37887789,35720399,36176806
3764,36826063,50828601,38291058
3777,34590168,59112429,47273442
3784,50761188,36553442,39341892
3810,49854237,37558875,46927081
3828,43133402,44223239,57175228
3833,53390389,53559599,42507969
3838,50174621,54022744,40910075
3843,44143634,41008744,58987986
3844,46664697,35232518,60022571
3846,44267260,35728731,43032004
3848,60127736,52273937,46479316
3850,44250948,36449898,35455792
3858,35357461,55165989,43373300
3864,60391809,49506106,41414528
3865,54057600,37966745,35154441
3866,42540169,40546553,58355075
3870,44043798,38917094,39735496
3881,43090360,55692290,50231743
3888,57820968,38471098,34944698
3895,35320568,55326372,42158316
3896,42247574,38412963,41468924
3913,48607666,35309369,59791668
3918,40363916,39015080,48630606
3920,39071401,53859740,50634690
3922,45355454,37220962,50708759
3926,57930206,39930952,38907164
3934,38748294,44336216,55925728
3936,42993690,35205643,37963845
3938,47536985,55930142,49129841
3946,46203146,45821347,60026798
3959,42464429,43561781,50355971
3961,58579774,60443148,53197381
3966,52422576,54498615,35198264
3971,40158438,35892110,42556498
3980,57951748,35345520,39457795
3981,59561105,47959618,35091997
3984,44589967,35285599,51901002
3995,50072448,36529435,44539401
3996,44001547,56331228,43791883
3997,37634711,51521031,42434905
3999,45898080,41110138,39549230
4000,50909767,50636587,37262772
4001,41336812,57782690,50487119
4011,53886689,53933270,59115180
4016,46733179,37281456,58323534
4021,42500301,43777986,38267527
4024,35181112,41928835,41513250
4027,43189364,49693928,55478588
4029,57293395,46069492,37101374
4038,49182433,37017351,56801064
4039,45868451,55882399,42032943
4041,48449511,42940954,46620252
4043,46182199,41711403,40622765
4049,40792221,41620937,35711216
4055,40221461,45508655,49051215
4074,50946008,43272619,38562159
4075,35278334,41504040,40612682
4083,38728176,51241349,43836378
4094,56667349,50738555,53096712
4102,37212649,39377541,44079039
4104,54008366,51571980,48028650
4107,39242997,35542489,46718620
4110,51093800,52314968,54644709
4116,40448762,42351850,43552682
4117,48583216,34866380,40104197
4118,41177327,44330249,49887801
4120,36389211,37497867,54162431
4121,38280652,41955331,37890903
4131,36862361,57190886,36079327
4133,49474575,43800544,43385348
4140,49042830,35764319,53949701
4143,54859153,36859666,58630753
4150,55510223,41673463,43571996
4151,35225836,40765074,52579875
4153,38785047,48976753,47863078
4156,34995079,54179316,35668857
4157,35069003,46568444,42379450
4159,37953196,51979358,34744959
4161,48701162,38042075,41492759
4162,46547599,39935607,42611200
4167,52589516,38730323,47863078
4177,35973764,46158850,48939363
4183,53931772,35436643,38326987
4194,44723755,58702602,50782806
4198,45760953,39376108,50531164
4201,48251829,37781970,50231989
4203,37973074,45337165,48603673
4205,54038628,53553121,51337255
4207,50778020,56043998,48071054
4209,38091612,48307008,47922850
4217,45881329,43189364,51496903
4229,40584225,48913081,40405139
4231,43117429,57682895,39256682
4232,47997966,45378033,47326546
4235,48647649,37820998,57921491
4242,53000463,34851713,46183159
4243,45653527,36653126,37901600
4248,52850310,46116764,40487067
4252,37974502,41069764,52135983
4253,55948458,60384944,51505356
4255,35959350,51152680,44675721
4258,56018174,42133356,49161055
4266,38031012,40694975,44690741
4292,38762356,50871135,46160292
4293,60197942,36269742,56535326
4295,57066412,57838876,41308270
4298,41512331,49244283,35115375
4302,49878399,45072255,55893188
4303,48309707,47286360,42363419
4319,36506398,43026999,49666682
4324,55124206,47882026,39651853
4335,42680633,44504096,44105922
4337,59554473,40429098,42644923
4344,57844028,41241904,44244351
4346,35100117,49858168,56095884
4352,36241023,53262227,56124580
4354,45286034,49575728,42666767
4366,49290683,36127557,37824170
4368,41430362,56436345,43055526
4370,53261544,42056736,42172344
4374,39305150,35248546,53438134
4375,51447003,59719904,36284370
4376,35994640,45319817,46397707
4377,37897252,50647260,52174461
4384,44436143,49379577,49172264
4389,35393716,50030252,48132235
4406,37552957,39053915,42407150
4409,51379732,54913898,35728731
4412,51289482,44849206,41051699
4417,48927989,55451949,35168615
4436,53150948,57094602,39767499
4442,50620758,35179410,52981800
4443,54414729,45045018,40443988
4446,46695812,46755003,58606932
4450,42094842,51852220,39195232
4452,38602459,54098839,35272403
4457,43744993,52140333,45331148
4472,44602795,37302618,59278894
4483,51052364,57552781,41828862
4484,37247474,45286392,49482682
4498,38114181,44298847,41734327
4501,41033849,52182380,37280856
4511,35238221,37613215,38217507
4513,49571803,58804383,51569205
4527,51907157,36000993,52202810
4530,40793901,52852190,39798317
4533,34712056,41572900,39921087
4549,41681250,47298755,50605555
4562,35733846,43548523,51166475
4569,41881985,50195259,36750201
4579,57202153,35315492,55615136
4592,35234527,42155536,35857297
4596,50455695,34588887,46902312
4597,41649050,36158402,49522542
4600,38012797,45115114,34827441
4603,48007891,38211393,38358317
4607,41132372,41692834,41124015
4627,36580954,43305253,53516000
4628,42240285,40872408,45057191
4630,47947789,38019267,59104963
4633,36898832,37785995,39961690
4635,50607118,44832683,49413797
4640,37946869,51146465,36644380
4645,39543108,50380470,34631956
4647,55854838,49213136,45873248
4649,51010565,41294305,58022066
4658,36195454,58900096,41274829
4664,38721302,37397588,40707710
4667,46552660,58449530,59802628
4671,56583265,40547836,41689941
4674,35718975,51513429,41443695
4678,60401442,34795100,54193465
4681,43055526,48460391,35598595
4687,53363428,39710446,36018146
4692,44038019,35973764,54663957
4712,48670495,37862409,52624259
4716,42755785,53582440,41113268
4721,45613669,60404181,39228465
4728,40623697,44495489,47580480
4733,52880983,44996190,38274160
4735,39324557,50655440,47962237
4739,41730632,35021096,54728824
4748,49046278,52047594,58026519
4758,54933030,40450761,41346532
4768,38855204,40122980,50112363
4777,45170258,59340505,40365531
4783,42368265,56494603,39376108
4785,39045272,55318938,51317722
4788,43975973,40710877,50996277
4790,35199808,40892462,52327278
4798,50263472,48121916,36457277
4809,37027465,43311091,49663903
4831,45852313,59564620,47483167
4843,38675840,42512171,52029253
4845,53384935,40764064,39040326
4849,44353408,49636928,49658633
4853,49963375,36140252,53182480
4856,35764800,39422109,34583168
4857,49523905,44577730,43005530
4858,48994605,36156741,37002809
4860,39372301,60391134,42540745
4861,45849831,44185843,37466315
4863,53928668,55065072,39961906
4864,46381242,45155631,51062736
4878,48756512,49095424,52418654
4879,44958624,51657105,40101827
4888,38847819,41207643,40941556
4889,60393227,39630886,54556387
4890,43868735,40541381,39728916
4895,57833496,37873482,35536848
4896,44718272,40880385,42711175
4905,56397191,54796702,59799612
4912,48346490,38726476,42030542
4915,45836490,50015656,40549198
4924,48701490,35829083,45220016
4927,52154101,49495590,53202973
4929,49493688,41190788,36163598
4931,47006053,40253414,40486163
4950,45910053,41886427,40389764
4953,57260775,38012042,38798683
4955,39438606,48442065,48854066
4957,42208721,35521682,42027601
4968,34897834,35902361,48634705
4976,42698142,36248728,50393649
4977,60027530,55375630,41453062
4982,34976385,52926843,36955368
4986,38758361,36467378,52118245
4995,39351653,34870515,35205643
5003,39153283,45516848,42971281
5011,49984952,59561158,47071406
5017,50064922,48133397,55076036
